Date,1-58,1-85,1-322,1-468,1-477,2-10,2-32,2-42,3-026,3-34,3-175,3-240,3-324,3-332,3-338,4-1,4-10,4-43,5-1,5-19,5-65,5-232,5-257,6-30,6-74,7-35,7-253,8-34,8-106,8-243,8-260,8-268,9-18,9-60,10-60
2023-02-28 00:00:00,188,275.0,89,351.0,135,157,1135.0,1627,376.0,185.0,260,586.0,616,958.0,4324,586,720.0,391,300.0,304,36.0,54,419,61,41,116.0,29,28,112.0,85,468,762.0,40,21,30
2023-03-01 00:00:00,239,257.0,80,313.0,132,130,1103.0,2756,337.0,193.0,234,591.0,688,1050.0,4280,526,686.0,338,297.0,254,37.0,53,270,70,54,106.0,23,17,107.0,85,409,696.0,50,28,52
2023-03-02 00:00:00,263,278.0,82,290.0,135,168,1127.0,2935,365.0,181.0,240,589.0,657,994.0,4191,323,410.0,39,256.0,290,17.0,49,428,73,53,90.0,27,14,100.0,65,392,713.0,50,36,24
2023-03-03 00:00:00,230,327.0,104,311.0,114,87,1322.0,2877,394.0,129.0,273,695.0,744,1199.0,4473,511,614.0,231,364.0,320,62.0,101,404,65,45,91.0,35,27,106.0,97,454,870.0,45,28,37
2023-03-04 00:00:00,279,263.0,91,213.0,115,133,1219.0,2889,288.0,135.0,184,497.0,589,1051.0,3563,753,910.0,449,362.0,416,34.0,78,370,116,85,82.0,28,47,147.0,121,353,639.0,44,25,30
2023-03-05 00:00:00,235,279.0,79,238.0,82,158,1051.0,3159,492.0,174.0,306,573.0,637,996.0,2869,783,932.0,475,284.0,343,32.0,76,674,86,65,62.0,28,39,127.0,80,366,622.0,34,24,30
2023-03-06 00:00:00,227,240.0,113,372.0,145,129,1116.0,2408,369.0,130.0,252,592.0,603,975.0,4205,590,724.0,417,243.0,335,25.0,51,436,77,54,88.0,31,25,105.0,94,465,832.0,40,20,6
2023-03-07 00:00:00,210,283.0,61,345.0,134,176,1077.0,1845,337.0,120.0,215,490.0,581,901.0,4166,562,728.0,412,317.0,276,41.0,63,347,63,50,84.0,22,24,111.0,73,449,880.0,52,38,18
2023-03-08 00:00:00,260,328.0,80,341.0,126,175,1090.0,2941,421.0,159.0,278,662.0,697,1096.0,4221,573,710.0,385,275.0,284,42.0,57,310,85,67,106.0,28,34,124.0,92,446,871.0,61,46,31
2023-03-09 00:00:00,285,356.0,113,393.0,144,191,1215.0,2930,483.0,205.0,323,706.0,765,1239.0,4400,627,806.0,438,321.0,258,59.0,90,322,63,36,73.0,38,30,102.0,76,442,870.0,78,55,29
2023-03-10 00:00:00,272,393.0,103,371.0,132,137,1285.0,2888,487.0,169.0,318,739.0,875,1475.0,4362,810,894.0,421,365.0,280,83.0,109,443,69,54,96.0,29,46,138.0,102,504,979.0,57,42,23
2023-03-11 00:00:00,275,343.0,93,270.0,138,134,1050.0,2998,365.0,112.0,273,600.0,789,1369.0,3352,829,1006.0,454,254.0,315,34.0,62,617,75,60,69.0,32,34,103.0,95,422,826.0,41,27,41
2023-03-12 00:00:00,276,319.0,73,308.0,109,123,906.0,2963,426.0,113.0,288,535.0,712,1122.0,2795,736,917.0,439,238.0,283,77.0,89,377,54,43,55.0,21,45,125.0,73,346,677.0,62,46,25
2023-03-13 00:00:00,206,279.0,86,336.0,112,190,1192.0,1989,388.0,120.0,269,580.0,648,1092.0,4103,619,805.0,443,308.0,236,50.0,50,471,46,28,84.0,17,2,114.0,64,476,875.0,82,63,14
2023-03-14 00:00:00,247,348.0,82,325.0,133,175,1233.0,1705,398.0,163.0,290,627.0,615,1053.0,4138,662,813.0,407,318.0,357,53.0,62,534,70,48,76.0,48,38,165.0,98,539,1009.0,82,61,22
2023-03-15 00:00:00,278,339.0,90,329.0,143,189,1247.0,3038,493.0,177.0,347,653.0,712,1114.0,4072,659,843.0,426,374.0,429,34.0,65,431,70,47,88.0,21,35,140.0,79,485,892.0,81,50,31
2023-03-16 00:00:00,272,344.0,94,401.0,116,184,1279.0,3007,447.0,162.0,287,599.0,635,981.0,4089,672,857.0,468,324.0,377,44.0,55,282,74,50,85.0,39,23,122.0,82,577,1051.0,91,61,29
2023-03-17 00:00:00,283,386.0,99,315.0,101,144,1377.0,3065,537.0,189.0,333,697.0,718,1165.0,4209,758,899.0,298,419.0,339,72.0,83,395,84,66,125.0,31,43,135.0,101,573,1069.0,94,55,40
2023-03-18 00:00:00,251,358.0,86,266.0,148,152,1077.0,3281,445.0,150.0,269,538.0,633,1039.0,3304,1018,1338.0,586,296.0,427,51.0,57,350,104,72,87.0,36,34,138.0,88,432,846.0,59,44,59
2023-03-19 00:00:00,280,350.0,92,330.0,129,184,971.0,3227,459.0,160.0,300,560.0,575,962.0,2689,815,1109.0,466,270.0,310,48.0,71,369,54,40,71.0,35,9,118.0,70,399,774.0,60,42,46
2023-03-20 00:00:00,283,318.0,79,295.0,131,188,1160.0,2424,449.0,162.0,290,658.0,682,1095.0,4054,650,878.0,436,337.0,235,69.0,60,485,59,29,81.0,28,48,129.0,119,548,1045.0,66,41,36
2023-03-21 00:00:00,243,410.0,104,369.0,133,156,1274.0,1810,507.0,184.0,332,825.0,719,1129.0,4112,653,827.0,427,356.0,338,58.0,57,336,74,40,78.0,26,82,149.0,115,471,959.0,75,64,48
2023-03-22 00:00:00,286,311.0,78,333.0,72,167,1192.0,2664,432.0,157.0,273,988.0,684,1153.0,4275,683,906.0,443,348.0,424,66.0,77,277,81,58,65.0,33,51,113.0,94,446,887.0,66,45,45
2023-03-23 00:00:00,309,326.0,64,272.0,80,153,1278.0,2813,425.0,166.0,273,1123.0,762,1282.0,4425,728,852.0,412,336.0,469,38.0,69,269,73,52,80.0,26,25,117.0,59,458,897.0,70,43,30
2023-03-24 00:00:00,285,295.0,73,325.0,65,112,1318.0,2795,420.0,141.0,227,1132.0,755,1271.0,4541,843,1037.0,442,369.0,420,38.0,76,381,91,69,113.0,40,40,115.0,101,528,989.0,72,50,27
2023-03-25 00:00:00,296,288.0,52,218.0,46,125,1121.0,3057,367.0,101.0,225,782.0,671,1174.0,3657,810,1021.0,378,283.0,413,32.0,60,404,77,53,65.0,20,33,116.0,102,477,916.0,87,66,36
2023-03-26 00:00:00,283,311.0,68,256.0,60,280,855.0,3030,388.0,123.0,252,739.0,566,1002.0,3065,713,987.0,363,243.0,257,29.0,42,346,65,46,53.0,36,31,115.0,81,367,716.0,96,65,31
2023-03-27 00:00:00,299,342.0,61,275.0,43,291,1177.0,2288,428.0,94.0,258,930.0,628,1063.0,4347,449,629.0,183,458.0,214,30.0,47,381,53,30,90.0,31,18,73.0,74,512,947.0,63,50,18
2023-03-28 00:00:00,218,332.0,51,302.0,28,262,1246.0,1517,411.0,120.0,272,1002.0,619,1018.0,4556,375,513.0,118,482.0,255,35.0,52,335,62,31,101.0,47,9,72.0,50,420,752.0,63,37,30
2023-03-29 00:00:00,311,268.0,67,265.0,31,276,1255.0,2841,376.0,110.0,200,952.0,664,1119.0,4714,407,554.0,96,478.0,371,30.0,47,257,89,55,89.0,45,129,215.0,131,539,906.0,50,40,30
2023-03-30 00:00:00,293,294.0,55,274.0,60,124,1279.0,2787,390.0,115.0,218,979.0,651,1044.0,4686,435,531.0,89,489.0,449,53.0,55,328,64,43,71.0,21,12,146.0,86,467,916.0,59,48,46
2023-03-31 00:00:00,344,334.0,67,261.0,31,75,1352.0,3006,397.0,124.0,239,1110.0,736,1235.0,4932,547,710.0,108,399.0,379,78.0,105,413,73,43,83.0,38,34,118.0,119,589,1053.0,71,50,55
2023-04-01 00:00:00,321,277.0,46,165.0,36,94,938.0,3147,291.0,108.0,180,690.0,589,982.0,3546,484,695.0,77,296.0,365,60.0,69,242,79,47,62.0,22,69,163.0,164,509,926.0,59,56,59
2023-04-02 00:00:00,271,260.0,45,209.0,35,110,796.0,2140,330.0,89.0,181,689.0,492,950.0,3100,648,616.0,105,253.0,281,66.0,67,280,67,43,38.0,16,36,180.0,195,472,902.0,63,61,52
2023-04-03 00:00:00,217,224.0,44,288.0,40,98,1044.0,2199,302.0,87.0,169,861.0,554,927.0,4268,400,521.0,44,294.0,283,64.0,72,379,77,39,92.0,30,28,163.0,84,562,1055.0,79,62,54
2023-04-04 00:00:00,235,225.0,34,247.0,33,108,1185.0,1767,277.0,105.0,151,883.0,527,893.0,4327,393,533.0,46,410.0,352,75.0,85,412,90,63,88.0,30,60,155.0,110,557,990.0,45,48,59
2023-04-05 00:00:00,253,302.0,51,275.0,43,120,1286.0,2433,366.0,101.0,181,957.0,641,1082.0,4550,385,536.0,37,453.0,497,61.0,96,291,79,43,95.0,49,39,105.0,93,502,919.0,90,57,58
2023-04-06 00:00:00,222,407.0,72,296.0,60,113,1459.0,3074,472.0,90.0,262,1084.0,771,1342.0,4799,567,740.0,71,531.0,518,90.0,93,254,90,57,95.0,50,31,115.0,120,553,1031.0,91,76,54
2023-04-07 00:00:00,241,408.0,52,241.0,44,98,1003.0,2743,386.0,91.0,228,681.0,521,1049.0,3274,908,1258.0,157,365.0,369,56.0,57,428,75,40,105.0,40,58,129.0,88,392,795.0,43,34,57
2023-04-08 00:00:00,214,277.0,36,159.0,39,77,1051.0,2995,297.0,85.0,153,709.0,575,985.0,3658,864,1321.0,118,512.0,460,49.0,48,384,92,56,106.0,14,27,138.0,114,428,778.0,44,22,53
2023-04-09 00:00:00,173,258.0,29,253.0,40,88,885.0,2847,310.0,48.0,109,608.0,406,809.0,2678,877,1167.0,153,420.0,357,52.0,59,388,72,47,72.0,20,10,141.0,64,302,595.0,33,22,26
2023-04-10 00:00:00,176,349.0,59,340.0,38,101,1277.0,2209,452.0,98.0,191,648.0,456,768.0,3311,475,567.0,62,635.0,255,68.0,59,482,76,32,48.0,23,68,144.0,136,455,846.0,41,24,58
2023-04-11 00:00:00,189,258.0,46,289.0,41,127,1362.0,1663,367.0,123.0,185,928.0,566,952.0,4497,513,444.0,19,704.0,317,72.0,119,358,84,42,92.0,24,61,173.0,135,450,926.0,61,46,54
2023-04-12 00:00:00,212,296.0,46,367.0,35,131,1513.0,3106,339.0,106.0,166,836.0,620,1088.0,4510,538,454.0,22,756.0,316,41.0,74,380,69,34,103.0,30,28,154.0,90,456,933.0,39,36,58
2023-04-13 00:00:00,229,287.0,33,346.0,33,130,1572.0,3110,321.0,120.0,176,883.0,590,1023.0,4577,516,432.0,18,759.0,338,26.0,82,506,68,43,110.0,18,20,153.0,106,482,942.0,70,56,54
2023-04-14 00:00:00,236,287.0,52,400.0,31,101,1717.0,3429,356.0,91.0,176,905.0,652,1175.0,4637,611,543.0,44,902.0,445,33.0,89,485,105,69,115.0,13,40,144.0,132,503,1096.0,38,24,55
2023-04-15 00:00:00,224,326.0,35,283.0,47,96,1389.0,3594,296.0,74.0,151,766.0,500,1001.0,3915,667,688.0,93,713.0,286,25.0,71,565,76,24,115.0,12,14,94.0,107,344,731.0,33,20,48
2023-04-16 00:00:00,131,316.0,31,310.0,54,113,1131.0,3627,304.0,67.0,140,659.0,504,908.0,3148,654,781.0,124,528.0,266,17.0,66,565,47,32,84.0,14,16,78.0,112,379,790.0,22,10,47
2023-04-17 00:00:00,189,237.0,24,303.0,49,124,1603.0,2825,282.0,77.0,135,782.0,507,864.0,4377,512,493.0,44,824.0,247,27.0,66,578,56,26,80.0,8,60,141.0,120,477,968.0,21,13,35
2023-04-18 00:00:00,239,257.0,13,265.0,44,124,1722.0,2318,263.0,141.0,156,838.0,544,966.0,4372,512,475.0,38,914.0,366,22.0,95,431,54,42,92.0,10,7,78.0,92,494,1008.0,42,28,39
2023-04-19 00:00:00,255,256.0,16,291.0,46,113,1696.0,3524,317.0,90.0,165,844.0,544,1000.0,4527,540,523.0,49,845.0,384,26.0,83,466,59,30,62.0,15,66,192.0,114,452,918.0,52,20,18
2023-04-20 00:00:00,216,232.0,20,314.0,29,133,1609.0,3556,323.0,111.0,192,815.0,636,1093.0,4629,671,561.0,51,835.0,404,22.0,76,530,70,48,71.0,2,66,183.0,114,503,1039.0,63,24,11
2023-04-21 00:00:00,201,244.0,17,291.0,34,84,1816.0,3266,335.0,90.0,158,837.0,659,1129.0,4471,644,569.0,34,979.0,462,33.0,90,440,57,35,98.0,5,32,167.0,132,494,1037.0,78,25,38
2023-04-22 00:00:00,211,296.0,12,198.0,74,95,1511.0,3424,313.0,87.0,141,553.0,506,899.0,3474,688,798.0,111,765.0,600,18.0,54,490,84,50,85.0,10,0,67.0,112,370,804.0,78,42,43
2023-04-23 00:00:00,196,308.0,23,271.0,45,108,1257.0,3292,318.0,104.0,147,585.0,452,856.0,3118,742,842.0,112,625.0,553,14.0,65,551,70,33,56.0,3,16,87.0,82,360,777.0,58,27,47
2023-04-24 00:00:00,229,272.0,10,264.0,41,107,1688.0,2851,326.0,79.0,148,741.0,492,910.0,4392,574,509.0,36,903.0,568,19.0,89,570,74,38,75.0,8,20,149.0,106,456,1016.0,18,14,53
2023-04-25 00:00:00,139,238.0,23,274.0,36,99,1747.0,2016,309.0,99.0,141,734.0,493,908.0,4493,598,486.0,30,956.0,818,16.0,83,417,77,48,68.0,10,50,121.0,91,467,986.0,35,18,58
2023-04-26 00:00:00,181,273.0,15,249.0,41,111,2020.0,3275,398.0,100.0,167,749.0,571,1024.0,4592,553,441.0,23,1215.0,859,28.0,80,330,88,51,92.0,5,114,185.0,159,621,1162.0,47,20,73
2023-04-27 00:00:00,186,333.0,14,279.0,56,112,2038.0,3654,439.0,126.0,199,807.0,605,1074.0,4499,586,526.0,43,1135.0,829,32.0,81,453,95,50,99.0,9,27,145.0,108,536,986.0,33,23,37
2023-04-28 00:00:00,191,361.0,18,299.0,64,96,2123.0,3725,496.0,97.0,222,965.0,733,1336.0,4805,728,606.0,53,1140.0,912,87.0,111,499,106,67,111.0,12,54,198.0,144,541,1106.0,40,21,27
2023-04-29 00:00:00,185,320.0,17,153.0,62,98,1641.0,3607,368.0,79.0,161,670.0,578,1106.0,3824,747,777.0,82,925.0,1051,66.0,58,574,102,57,113.0,12,68,147.0,140,438,927.0,30,12,36
