Date,3-026
2016-08-14,482.0
2016-08-15,468.0
2016-08-16,486.0
2016-08-17,477.0
2016-08-18,451.0
2016-08-19,457.0
2016-08-20,518.0
2016-08-21,422.0
2016-08-22,413.0
2016-08-23,434.0
2016-08-24,453.0
2016-08-25,445.0
2016-08-26,457.0
2016-08-27,458.0
2016-08-28,427.0
2016-08-29,414.0
2016-08-30,362.0
2016-09-01,714.0
2016-09-02,479.0
2016-09-03,537.0
2016-09-04,456.0
2016-09-05,546.0
2016-09-06,428.0
2016-09-07,375.0
2016-09-08,374.0
2016-09-09,411.0
2016-09-10,421.0
2016-09-11,430.0
2016-09-12,359.0
2016-09-13,365.0
2016-09-14,350.0
2016-09-15,416.0
2016-09-16,441.0
2016-09-17,395.0
2016-09-18,366.0
2016-09-19,337.0
2016-09-20,372.0
2016-09-21,426.0
2016-09-22,440.0
2016-09-23,510.0
2016-09-24,448.0
2016-09-25,402.0
2016-09-26,410.0
2016-09-27,347.0
2016-09-28,357.0
2016-09-29,353.0
2016-09-30,424.0
2016-10-01,340.0
2016-10-02,405.0
2016-10-03,361.0
2016-10-04,332.0
2016-10-05,394.0
2016-10-06,434.0
2016-10-07,561.0
2016-10-08,472.0
2016-10-09,324.0
2016-10-10,401.0
2016-10-11,397.0
2016-10-12,353.0
2016-10-13,402.0
2016-10-14,424.0
2016-10-15,416.0
2016-10-16,317.0
2016-10-17,266.0
2016-10-18,286.0
2016-10-19,340.0
2016-10-20,352.0
2016-10-21,421.0
2016-10-22,417.0
2016-10-23,277.0
2016-10-24,304.0
2016-10-25,280.0
2016-10-26,308.0
2016-10-27,341.0
2016-10-28,470.0
2016-10-29,377.0
2016-10-30,328.0
2016-10-31,267.0
2016-11-01,244.0
2016-11-02,274.0
2016-11-03,302.0
2016-11-04,449.0
2016-11-05,401.0
2016-11-06,294.0
2016-11-07,288.0
2016-11-08,293.0
2016-11-09,298.0
2016-11-10,409.0
2016-11-11,399.0
2016-11-12,300.0
2016-11-13,308.0
2016-11-14,344.0
2016-11-15,382.0
2016-11-16,402.0
2016-11-17,410.0
2016-11-18,374.0
2016-11-19,326.0
2016-11-20,268.0
2016-11-21,307.0
2016-11-22,296.0
2016-11-23,352.0
2016-11-24,336.0
2016-11-25,327.0
2016-11-26,283.0
2016-11-27,256.0
2016-11-28,278.0
2016-11-29,353.0
2016-11-30,304.0
2016-12-01,252.0
2016-12-02,370.0
2016-12-03,328.0
2016-12-04,267.0
2016-12-05,305.0
2016-12-06,288.0
2016-12-07,317.0
2016-12-08,345.0
2016-12-09,338.0
2016-12-10,325.0
2016-12-11,278.0
2016-12-12,286.0
2016-12-13,345.0
2016-12-14,399.0
2016-12-15,352.0
2016-12-16,355.0
2016-12-17,404.0
2016-12-18,290.0
2016-12-19,362.0
2016-12-20,320.0
