Date,1-58,1-85,1-322,1-468,1-477,2-10,2-32,2-42,3-026,3-34,3-175,3-240,3-324,3-332,3-338,4-1,4-10,4-43,5-1,5-19,5-65,5-232,5-257,6-30,6-74,7-35,7-253,8-34,8-106,8-243,8-260,8-268,9-18,9-60,10-60,gnt-2
2022-02-01 00:00:00,163.0,163.0,108.0,234.0,52.0,246.0,1175.0,2620.0,263.0,190.0,151.0,444.0,661.0,747.0,4010.0,445.0,582.0,188.0,325.0,77.0,41.0,47.0,358.0,63.0,45.0,120.0,22.0,37,132.0,60.0,284.0,496.0,18.0,16.0,40.0,227
2022-02-02 00:00:00,181.0,202.0,89.0,269.0,63.0,218.0,1118.0,2461.0,283.0,221.0,172.0,500.0,696.0,794.0,3745.0,476.0,536.0,187.0,337.0,102.0,35.0,43.0,240.0,46.0,33.0,59.0,19.0,23,148.0,70.0,322.0,582.0,19.0,13.0,25.0,246
2022-02-03 00:00:00,177.0,186.0,58.0,235.0,88.0,221.0,1107.0,2890.0,329.0,249.0,216.0,529.0,662.0,817.0,3816.0,511.0,607.0,264.0,306.0,84.0,31.0,34.0,248.0,49.0,36.0,79.0,17.0,29,94.0,105.0,328.0,596.0,34.0,20.0,31.0,267
2022-02-04 00:00:00,171.0,193.0,83.0,282.0,55.0,288.0,1240.0,2615.0,343.0,254.0,205.0,565.0,697.0,940.0,4234.0,486.0,594.0,216.0,364.0,78.0,42.0,50.0,381.0,57.0,41.0,83.0,16.0,26,146.0,84.0,349.0,653.0,28.0,19.0,44.0,210
2022-02-05 00:00:00,179.0,196.0,58.0,278.0,66.0,239.0,1102.0,2899.0,324.0,216.0,206.0,532.0,689.0,937.0,3866.0,676.0,769.0,323.0,254.0,92.0,28.0,49.0,270.0,53.0,36.0,70.0,13.0,27,131.0,68.0,241.0,464.0,31.0,21.0,13.0,125
2022-02-06 00:00:00,141.0,157.0,57.0,214.0,56.0,194.0,817.0,1837.0,322.0,155.0,181.0,442.0,664.0,745.0,3104.0,647.0,710.0,328.0,171.0,48.0,19.0,47.0,288.0,46.0,22.0,58.0,16.0,21,112.0,54.0,166.0,283.0,13.0,9.0,12.0,103
2022-02-07 00:00:00,153.0,143.0,80.0,247.0,42.0,261.0,1063.0,1626.0,275.0,183.0,175.0,455.0,662.0,841.0,4462.0,522.0,655.0,328.0,266.0,40.0,24.0,37.0,402.0,59.0,39.0,67.0,26.0,31,151.0,65.0,340.0,605.0,31.0,22.0,7.0,216
2022-02-08 00:00:00,178.0,172.0,89.0,243.0,54.0,251.0,1151.0,2542.0,342.0,239.0,186.0,558.0,668.0,911.0,4419.0,538.0,652.0,329.0,321.0,63.0,18.0,39.0,334.0,55.0,40.0,82.0,23.0,34,99.0,75.0,307.0,590.0,39.0,27.0,33.0,215
2022-02-09 00:00:00,193.0,162.0,57.0,278.0,49.0,278.0,1184.0,2772.0,323.0,201.0,225.0,510.0,658.0,833.0,4283.0,482.0,618.0,302.0,357.0,77.0,24.0,39.0,316.0,70.0,42.0,67.0,28.0,9,81.0,50.0,285.0,577.0,41.0,25.0,24.0,206
2022-02-10 00:00:00,182.0,171.0,84.0,216.0,45.0,289.0,1249.0,2905.0,411.0,257.0,270.0,601.0,665.0,993.0,4067.0,543.0,687.0,308.0,354.0,121.0,40.0,53.0,253.0,58.0,49.0,73.0,21.0,0,104.0,68.0,339.0,614.0,33.0,25.0,26.0,221
2022-02-11 00:00:00,195.0,169.0,86.0,287.0,71.0,323.0,1357.0,2717.0,410.0,202.0,233.0,583.0,677.0,1082.0,3925.0,638.0,769.0,363.0,431.0,113.0,47.0,63.0,270.0,79.0,63.0,109.0,32.0,55,137.0,82.0,386.0,688.0,34.0,30.0,30.0,242
2022-02-12 00:00:00,161.0,137.0,87.0,182.0,59.0,223.0,1069.0,2801.0,279.0,213.0,186.0,568.0,677.0,927.0,3020.0,617.0,760.0,351.0,337.0,121.0,29.0,51.0,327.0,58.0,43.0,64.0,9.0,52,164.0,115.0,300.0,560.0,41.0,31.0,49.0,147
2022-02-13 00:00:00,131.0,132.0,88.0,182.0,56.0,207.0,795.0,2234.0,377.0,243.0,255.0,532.0,694.0,760.0,2558.0,610.0,716.0,373.0,206.0,130.0,26.0,44.0,347.0,57.0,46.0,31.0,6.0,36,101.0,60.0,151.0,327.0,30.0,19.0,29.0,123
